61155,N-62,9/19/2013,N-62,,19000N PettyCash/NPR Kathmandu (N),NPR,," 29,137.57 ", 0.00 ," 29,137.57 ",Nepalese Rupee,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Petty cash,Petty cash,1
62108,N-63,10/22/2013,N-63,,19001N PettyCash/NPR Kirne  (N),NPR,," 50,000.00 ", 0.00 ," 50,000.00 ",Nepalese Rupee,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,For petty cash use ( Chque no: 027112),For petty cash use ( Chque no: 027112),1
62329,N-64,11/1/2013,N-64,,19999N NPRClearing  (N),NPR,,42831.57, 0.00 ," 42,831.57 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,SN Power Norway's transfer,SN Power Norway's transfer,98.12726523
62330,N-65,10/30/2013,N-65,,19999N NPRClearing  (N),NPR,,699400.87, 0.00 ," 699,400.87 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,G4S Payment,G4S Payment,97.90004661
62333,N-66,10/30/2013,N-66,,19999N NPRClearing  (N),NPR,,175017.76, 0.00 ," 175,017.76 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,SP International,SP International,97.89998434
62335,N-67,10/30/2013,N-67,,19999N NPRClearing  (N),NPR,,487986, 0.00 ," 487,986.00 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Trans Himalayan,Trans Himalayan,97.89990651
62373,N-69,11/1/2013,N-69,,19213N NMB/NPR 0200010920300038 CUR  (N),NPR,,9870000, 0.00 ," 9,870,000.00 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from SCBNL to NMB,Fund transfer from SCBNL to NMB,98.7
62386,N-70,11/15/2013,N-70,,19000N PettyCash/NPR Kathmandu (N),NPR,," 24,214.45 ", 0.00 ," 24,214.45 ",Nepalese Rupee,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Petty cash,Petty cash,1
62390,N-71,11/15/2013,N-71,,19999N NPRClearing  (N),NPR,,1451574.84, 0.00 ," 1,451,574.84 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),GM,GM's salary for Nov'13,GM's salary for Nov'13,101.3966265
62393,N-72,10/23/2013,N-72,,19620N FixedDeposits SCB (N),USD, 0.00 ,2500000, 0.00 ," 245,875,000.00 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fixed deposit in SCB,Fixed deposit in SCB,98.35
62402,N-73,11/12/2013,N-73,,19200N SCB/USD 01-0417319-51 CUR (N),USD, 0.00 ,10000000, 0.00 ," 1,002,500,000.00 ",US Dollar,Nov 2013 [Kartik 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,FD Matured,FD Matured,100.25
63292,N-76,11/22/2013,N-76,,19999N NPRClearing  (N),NPR,," 170,168.60 ", 0.00 ," 170,168.60 ",Nepalese Rupee,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Mountain's payment,Mountain's payment,1
63387,N-77,11/22/2013,N-77,,19999N NPRClearing  (N),NPR,,20513.29, 0.00 ," 20,513.29 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Saleways payment,Saleways payment,100.3487428
63389,N-78,11/22/2013,N-78,,19999N NPRClearing  (N),NPR,,223000, 0.00 ," 223,000.00 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Payment of ODC,Payment of ODC,100.3501004
63393,N-79,11/22/2013,N-79,,19999N NPRClearing  (N),NPR,,4642232.6, 0.00 ," 4,642,232.60 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,NHE payment,NHE payment,100.3500099
63404,N-80,11/24/2013,N-80,,19200N SCB/USD 01-0417319-51 CUR (N),USD, 0.00 ,5515900, 0.00 ," 556,554,310.00 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from SBI to SCBNL,Fund transfer from SBI to SCBNL,100.9
63411,N-82,11/29/2013,N-82,,19999N NPRClearing  (N),NPR,,33363.75, 0.00 ," 33,363.75 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Payment to ACCA,Payment to ACCA,99.4893395
63419,N-83,11/29/2013,N-83,,19999N NPRClearing  (N),NPR,,809695.04, 0.00 ," 809,695.04 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,ABB's payment,ABB's payment,98.93247576
63499,N-87,12/10/2013,N-87,,19999N NPRClearing  (N),NPR,,1805178.38, 0.00 ," 1,805,178.38 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,SN Power Norway's payment,SN Power Norway's payment,98.42418978
63501,N-88,12/11/2013,N-88,,19200N SCB/USD 01-0417319-51 CUR (N),USD, 0.00 ,4003400, 0.00 ," 394,134,730.00 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from HBL to SCBNL,Fund transfer from HBL to SCBNL,98.45
63532,N-89,12/13/2013,N-89,,19999N NPRClearing  (N),NPR,,1412349.76, 0.00 ," 1,412,349.76 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),GM,GM's salary for Dec'13,GM's salary for Dec'13,98.9900719
63536,N-90,12/9/2013,N-90,,19200N SCB/USD 01-0417319-51 CUR (N),USD, 0.00 ,2500000, 0.00 ," 244,875,000.00 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,FD Matured,FD Matured,97.95
63555,N-91,12/8/2013,N-91,,19213N NMB/NPR 0200010920300038 CUR  (N),NPR,," 10,000,000.00 ", 0.00 ," 10,000,000.00 ",Nepalese Rupee,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from SCBNL to NMB,Fund transfer from SCBNL to NMB,1
63572,N-92,11/21/2013,N-92,,19300N NSBI/USD 20238400100005 CUR (N),USD, 0.00 ,5500000, 0.00 ," 554,400,000.00 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fixed deposit mature,Fixed deposit mature,100.8
63579,N-95,10/8/2013,N-95,,19640N FixedDeposits HBL (N),USD, 0.00 ,4000000, 0.00 ," 394,000,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,FD on HBL Bank,FD on HBL Bank,98.5
64634,N-96,12/15/2013,N-96,,19999N NPRClearing  (N),NPR,,330284.5, 0.00 ," 330,284.50 ",US Dollar,Dec 2013 [Mangsir 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Propontis Coaching,Propontis Coaching,98.7043512
64992,N-99,1/8/2014,N-99,,19213N NMB/NPR 0200010920300038 CUR  (N),NPR,," 22,993.10 ", 0.00 ," 22,993.10 ",Nepalese Rupee,Jan 2014 [Paush 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,Cash deposit from Petty Cash a/c to 71F a/c ( Advance settlement of OM Prakash pokherel),Cash deposit from Petty Cash a/c to 71F a/c ( Advance settlement of OM Prakash pokherel),1
65150,N-102,1/10/2014,N-102,,19000N PettyCash/NPR Kathmandu (N),NPR,," 29,980.98 ", 0.00 ," 29,980.98 ",Nepalese Rupee,Jan 2014 [Paush 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Petty cash,Petty cash,1
65189,N-103,1/15/2014,N-103,,19300N NSBI/USD 20238400100005 CUR (N),USD, 0.00 ,4000000, 0.00 ," 392,280,000.00 ",US Dollar,Feb 2014 [Magh 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer to NSBI for fund transfer,Fund transfer to NSBI for fund transfer,98.07
