167399,10/11/2020,IA/N-0003754,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,35,85.84057143
167400,10/11/2020,IA/N-0003755,14100 SparePart,66900 OtherRepMaintCost,,Emergency DG,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Generator : Diesel : 0100.001.0004,Litre,10,812.53
167401,20/10/2020,IA/N-0003756,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Drinking water supply line,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Nipple : 1001.004.0009,Piece,2,185.32
167402,27/10/2020,IA/N-0003757,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,22,85.84090909
167403,28/10/2020,IA/N-0003758,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Guest house maintenance,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,4,13.27
167404,11/1/2020,IA/N-0003759,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,57,85.84070175
167405,11/5/2020,IA/N-0003760,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux # 6264,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,31,85.84064516
167406,11/6/2020,IA/N-0003761,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,51,85.84078431
167407,11/6/2020,IA/N-0003762,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,38,85.84078947
167408,11/10/2020,IA/N-0003763,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,50,85.8408
167409,13/11/2020,IA/N-0003764,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Nov 2020 [Kartik 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,36,85.84083333
